Core Set,Expansion,Compilation/Reprint set,Starter,Un-Set,Supplemental,,,,,,,,,
Set Name,Date Released,Notes,English,Italian,French,German,Spanish,Portuguese,Japanese,Chinese (Trad),Chinese (Simp),Russian,Korean,
Alpha,1993-08-05,,Yes,No,No,No,No,No,No,No,No,No,No,"Not all products are always available in all languages. For example, the official website lists products like intro pack, fat packs, and event decks (for example) not being available in all languages. "
Beta,1993-10-04,,Yes,No,No,No,No,No,No,No,No,No,No,
Unlimited,1993-12-01,First White border set,Yes,No,No,No,No,No,No,No,No,No,No,
Arabian Nights,1993-12-17,,Yes,No,No,No,No,No,No,No,No,No,No,
Antiquities,1994-03-04,,Yes,No,No,No,No,No,No,No,No,No,No,
Revised,1994-04-??,First set with Gift set (wiki); foreign sets black border (ruling first printing in a language is black border); copyright year printed on foreign cards,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,
Legends,1994-06-10,"First Multicolored; wiki implies foreign language was released at a later date and Italian The Dark actually predates Italian Legends, but actual dates were hard to track down: ""Legends is the oldest Magic expansion that was released in the Italian language (though the Italian The Dark was released earlier)."" couldn't find sources for any claims, but lots of people seem to say italian legends had a larger print run that began months after the English version. First English set with copyright year",Yes,Yes,No,No,No,No,No,No,No,No,No,
The Dark,1994-08-08,Official MTG site says june 1994 release,Yes,Yes,No,No,No,No,No,No,No,No,No,
Fallen Empires,1994-11-15,,Yes,No,No,No,No,No,No,No,No,No,No,
Fourth Edition,1995-04-??,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,
Ice Age,1995-06-early,First expansion with many languages,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,
Chronicles,1995-06-??,"Arabian Nights, Antiquities, Legends, The Dark reprints, original set symbols white boardered, Official site lists July 1995 as release date",Yes,No,No,No,No,No,Yes,No,No,No,No,
Renaissance,1995-08-??,"122 cards in French and German and 60 cards in Italian, black border",No,Yes,Yes,Yes,No,No,No,No,No,No,No,
Homelands,1995-10-15,First simultaneous internation release,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,
Alliances,1995-06-??,Last expansion to use multiple arts on cards to make identification easier as the game was growing in other languages,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,
Mirage,1996-10-08,African themed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
Visions,1997-02-03,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,
Fifth Edition,1997-03-24,"Simplified Chinese got a rarity colored V and was released in 1998, official website does not list simplified Chinese but sellers like Star City Games stock them http://www.starcitygames.com/catalog/magic_the_gathering/product/172513 http://www.starcitygames.com/catalog/magic_the_gathering/product/571566/571567",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Portal,1997-05-01,"Uses different wording from Magic, simplified version of the game",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Weatherlight,1997-06-09,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,
Tempest,1997-10-14,First set with special pre-release card (appears to only be in English) https://scryfall.com/card/ppre/1/dirtcowl-wurm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,
Stronghold,1998-03-02,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,
